client_id,phone,observation_month,profession,estimated_income_usd,orange_money_account_age_months,historical_risk_score,paid_months_count,kit_is_suspended,payment_success_rate,failed_payment_count_12m,late_payment_count_12m,missed_payment_count_12m,days_since_last_payment,avg_payment_amount_usd,payment_amount_volatility,income_to_fee_ratio,profession_risk_score,default_next_90d
ACC-2026-0001,0842867825,2025-08,Fonctionnaire,373.74,14,0.12,5,0,1.0,0,0,0,0,29.63,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2025-09,Fonctionnaire,373.74,15,0.12,6,0,1.0,0,0,0,0,27.73,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2025-10,Fonctionnaire,373.74,16,0.12,7,0,1.0,0,0,0,0,28.66,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2025-11,Fonctionnaire,373.74,17,0.12,7,0,0.75,0,0,1,30,31.47,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2025-12,Fonctionnaire,373.74,18,0.12,8,0,0.8,0,0,1,0,32.19,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-01,Fonctionnaire,373.74,19,0.12,9,0,0.833,0,0,1,0,31.67,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-02,Fonctionnaire,373.74,20,0.12,10,0,0.857,0,0,1,0,30.17,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-03,Fonctionnaire,373.74,21,0.12,11,0,0.875,0,0,1,0,31.58,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-04,Fonctionnaire,373.74,22,0.12,12,0,0.889,0,0,1,0,30.98,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-05,Fonctionnaire,373.74,23,0.12,13,0,0.9,0,0,1,0,27.98,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-06,Fonctionnaire,373.74,24,0.12,14,0,0.909,0,0,1,0,30.65,3.59,12.458,0.18,0
ACC-2026-0001,0842867825,2026-07,Fonctionnaire,373.74,25,0.12,15,0,0.917,0,0,1,0,28.88,3.59,12.458,0.18,0
ACC-2026-0002,0843871230,2025-08,Commercant independant,396.07,32,0.156,3,0,1.0,0,0,0,0,10.22,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2025-09,Commercant independant,396.07,33,0.156,4,0,1.0,0,0,0,0,10.44,1.56,39.607,0.36,1
ACC-2026-0002,0843871230,2025-10,Commercant independant,396.07,34,0.156,5,0,1.0,0,0,0,0,9.63,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2025-11,Commercant independant,396.07,35,0.156,6,0,1.0,0,0,0,0,9.7,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2025-12,Commercant independant,396.07,36,0.156,7,0,1.0,0,0,0,0,9.93,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-01,Commercant independant,396.07,37,0.156,8,0,1.0,0,0,0,0,9.62,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-02,Commercant independant,396.07,38,0.156,9,0,1.0,0,0,0,0,9.55,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-03,Commercant independant,396.07,39,0.156,10,0,1.0,0,0,0,0,9.28,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-04,Commercant independant,396.07,40,0.156,11,0,1.0,0,0,0,0,9.88,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-05,Commercant independant,396.07,41,0.156,12,0,1.0,0,0,0,0,10.05,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-06,Commercant independant,396.07,42,0.156,12,0,0.909,0,0,1,30,10.35,1.56,39.607,0.36,0
ACC-2026-0002,0843871230,2026-07,Commercant independant,396.07,43,0.156,13,0,0.917,0,0,1,0,10.23,1.56,39.607,0.36,0
ACC-2026-0003,0848612220,2025-08,Fonctionnaire,359.55,65,0.082,1,0,1.0,0,0,0,0,9.68,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2025-09,Fonctionnaire,359.55,66,0.082,2,0,1.0,0,0,0,0,10.42,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2025-10,Fonctionnaire,359.55,67,0.082,3,0,1.0,0,0,0,0,9.2,0.82,35.955,0.18,1
ACC-2026-0003,0848612220,2025-11,Fonctionnaire,359.55,68,0.082,4,0,1.0,0,0,0,0,10.61,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2025-12,Fonctionnaire,359.55,69,0.082,5,0,1.0,0,0,0,0,10.6,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-01,Fonctionnaire,359.55,70,0.082,6,0,1.0,0,0,0,0,9.31,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-02,Fonctionnaire,359.55,71,0.082,7,0,1.0,0,0,0,0,9.96,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-03,Fonctionnaire,359.55,72,0.082,8,0,1.0,0,0,0,0,9.88,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-04,Fonctionnaire,359.55,73,0.082,9,0,1.0,0,0,0,0,9.52,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-05,Fonctionnaire,359.55,74,0.082,10,0,1.0,0,0,0,0,9.9,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-06,Fonctionnaire,359.55,75,0.082,11,0,1.0,0,0,0,0,9.74,0.82,35.955,0.18,0
ACC-2026-0003,0848612220,2026-07,Fonctionnaire,359.55,76,0.082,12,0,1.0,0,0,0,0,9.31,0.82,35.955,0.18,0
ACC-2026-0004,0841527021,2025-08,Vendeur de rue,135.31,10,0.437,4,0,1.0,0,1,0,0,23.53,15.0,5.412,0.62,0
